trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.3, 'e': 0.8069999999999999}",20,0,-81.74055755355111,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.3, 'e': 0.8059999999999999}",20,0,-149.60622935256032,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
95,False,"{'a': 0.3, 'e': 0.8049999999999999}",20,6,-65.57205148825463,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.3, 'e': 0.8039999999999999}",20,0,-102.06268325525646,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.3, 'e': 0.8029999999999999}",25,0,-88.97388987424452,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
98,False,"{'a': 0.3, 'e': 0.8019999999999999}",25,0,-85.96995254760152,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.3, 'e': 0.8009999999999999}",20,0,-63.59018810376525,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.7999999999999999}",20,0,-123.50494141725886,"{0: 12, 1: 2, 2: 1, 3: 4, 4: 1}",0
101,False,"{'a': 0.3, 'e': 0.7989999999999999}",20,0,-32.927973663329134,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.3, 'e': 0.7979999999999999}",25,0,-27.17723494105698,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.7969999999999999}",25,0,-143.68740082339104,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
104,False,"{'a': 0.3, 'e': 0.7959999999999999}",25,0,-80.54888563075345,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
